gene	siADNP1	siADNP2	siADNP3	SCR1	SCR2	SCR3
1/2-SBSRNA4	6	2	1	2	4	1
A1BG	1	2	0	0	1	2
A1BG-AS1	0	1	0	0	0	0
A1CF	3	4	1	9	6	10
A2LD1	36	27	27	24	37	27
A2M	0	0	0	0	0	0
A2ML1	1	0	3	0	0	0
A2MP1	0	0	0	0	0	0
A4GALT	71	87	54	76	84	66
A4GNT	0	0	0	0	0	1
AA06	0	0	0	2	0	0
AAA1	1	0	0	0	0	0
AAAS	307	333	271	311	362	289
AACS	152	176	145	167	152	139
AACSP1	18	26	12	15	12	15
AADAC	22	39	19	46	57	31
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	2	0	0
AADAT	261	317	227	291	311	268
AAGAB	809	902	808	1108	1220	1048
AAK1	454	480	296	371	367	296
AAMP	709	710	701	764	866	713
AANAT	0	0	0	0	0	0
AARS	2212	2580	2313	2406	2867	2308
AARS2	365	355	279	371	384	287
AARSD1	314	351	291	424	529	388
AASDH	179	215	165	259	301	208
AASDHPPT	1076	1247	1016	1364	1519	1254
AASS	171	187	146	152	189	135
AATF	1315	1346	1215	1524	1784	1264
AATK	6	10	9	14	8	8
AATK-AS1	0	0	0	0	0	0
ABAT	104	132	110	81	110	96
ABCA1	6	14	13	7	12	12
ABCA10	1	3	3	2	2	4
ABCA11P	155	204	134	207	262	183
ABCA12	18	22	20	31	39	37
ABCA13	0	0	0	1	0	0
ABCA17P	1	0	0	0	0	0
ABCA2	703	819	636	626	736	545
ABCA3	57	83	50	55	68	51
ABCA4	4	3	2	9	4	3
ABCA5	164	217	171	217	294	209
ABCA6	2	1	3	4	2	1
ABCA7	571	588	423	534	682	532
ABCA8	0	0	0	0	0	0
ABCA9	2	0	0	1	0	1
ABCB1	60	71	66	70	118	75
ABCB10	223	241	222	251	303	264
ABCB11	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0
ABCB5	2	1	0	0	0	1
ABCB6	140	136	95	101	149	103
ABCB7	325	373	307	409	436	354
ABCB8	145	226	136	176	223	196
ABCB9	47	60	53	52	65	52
ABCC1	1083	1337	972	1148	1309	1138
ABCC10	214	233	194	231	202	172
ABCC11	2	3	2	3	5	3
ABCC12	1	0	1	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	1433	1691	1288	1617	1751	1568
ABCC3	75	109	64	82	107	78
ABCC4	864	1045	863	713	789	741
ABCC5	328	358	282	349	371	326
ABCC6	14	15	12	9	11	8
ABCC6P1	0	0	0	3	0	0
ABCC6P2	0	1	1	1	0	0
ABCC8	1	1	0	0	0	0
ABCC9	0	0	0	0	1	1
ABCD1	25	25	24	28	19	29
ABCD2	2	0	2	1	3	1
ABCD3	1036	1225	1133	1420	1757	1340
ABCD4	169	192	174	207	207	149
ABCE1	2895	3413	2812	3717	4289	3630
ABCF1	1167	1340	1213	1361	1437	1127
ABCF2	1375	1587	1205	1437	1619	1288
ABCF3	510	507	450	527	616	533
ABCG1	8	12	7	5	14	6
ABCG2	22	70	50	51	66	64
ABCG4	37	46	42	39	34	31
ABCG5	0	0	1	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0
ABHD10	3743	4444	3770	3707	4724	3542
ABHD11	202	237	233	202	264	208
ABHD11-AS1	2	1	0	3	1	4
ABHD12	155	181	143	152	208	163
ABHD12B	0	0	0	0	0	0
ABHD13	302	316	278	414	450	361
ABHD14A	26	32	24	18	24	23
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	355	399	348	295	351	303
ABHD15	74	96	68	86	91	74
ABHD16A	125	119	127	165	193	157
ABHD16B	0	0	0	0	0	0
ABHD2	554	722	548	741	845	671
ABHD3	197	205	180	207	220	193
ABHD4	73	100	80	91	112	84
ABHD5	294	355	293	470	486	428
ABHD6	89	93	85	56	67	90
ABHD8	9	21	18	18	20	17
ABI1	831	845	715	1016	1249	910
ABI2	354	474	386	412	410	400
ABI3	0	1	0	1	1	0
ABI3BP	1	3	1	1	1	3
ABL1	768	880	718	1070	1094	928
ABL2	663	779	486	775	830	763
ABLIM1	2770	3014	2642	2621	2779	2433
ABLIM2	24	32	23	29	35	26
ABLIM3	157	160	128	195	173	145
ABO	31	38	20	31	26	15
ABP1	1	2	0	1	0	0
ABR	645	730	590	601	676	518
ABRA	0	0	0	0	0	0
ABT1	216	286	246	274	305	284
ABTB1	22	15	25	26	39	32
ABTB2	127	137	93	119	141	116
ACAA1	193	229	213	235	273	217
ACAA2	94	95	87	86	111	83
ACACA	3196	3702	2695	3372	3716	3321
ACACB	108	136	111	115	114	104
ACAD10	123	166	127	148	165	130
ACAD11	44	44	47	47	49	40
ACAD8	93	79	71	81	81	80
ACAD9	344	381	302	396	457	413
ACADL	0	0	0	0	0	0
ACADM	275	289	278	403	492	401
ACADS	70	70	66	86	96	72
ACADSB	444	479	377	504	613	448
ACADVL	780	943	810	874	1068	862
