Symbol	TCGA-AA-A004-01	TCGA-AA-3520-01	TCGA-AA-3519-01	TCGA-AA-3977-01	TCGA-AA-A00D-01	TCGA-AA-3692-01	TCGA-AA-3833-01	TCGA-AA-A01X-01	TCGA-AZ-4313-01	TCGA-AA-3819-01	TCGA-AA-3679-01	TCGA-AA-3831-01	TCGA-A6-2683-01	TCGA-AA-3681-01	TCGA-AA-3672-01	TCGA-AA-3866-01
RNF17	0	0	0	0	0	0	0	0	0	0.8723	0	1.8212	0	0	0	0.9194
RNF10	10.1687	11.7504	11.4261	11.368	11.6717	11.409	11.7053	11.5139	11.5558	11.6346	11.094	11.5386	11.5473	11.9352	11.938	10.9844
RNF11	7.4594	10.5528	9.195	10.5444	10.0245	10.3619	10.5539	9.2559	8.412	10.2841	10.1904	10.3121	7.6205	9.754	8.2444	9.8839
RNF13	0	10.1055	9.8788	10.9868	9.8978	10.8482	10.0481	9.676	9.2736	10.5096	9.6314	9.7209	8.8573	9.555	8.3898	10.971
GTF2IP1	10.0495	12.7	12.7205	12.6077	13.4778	12.9308	12.7802	12.8013	12.2129	12.4171	13.5272	12.7916	10.1296	13.2629	10.9672	12.2509
REM1	4.7004	4.5161	4.0624	3.3881	4.2293	4.1072	4.9266	3.3848	3.5857	3.5604	4.4402	4.2278	3.6237	3.0316	3.793	3.9317
MTVR2	0	0	0	0	0	0	0	0	0	0.8723	0	0	2.0828	0	0	0
RTN4RL2	0	3.8206	4.367	5.3495	4.99	4.237	6.4611	3.015	3.1476	3.6585	5.1149	4.1612	5.7219	2.5322	5.3069	3.0233
C16orf13	12.144	10.3704	10.6018	10.18	10.0933	10.4928	10.4884	11.0556	11.5337	10.7267	11.0559	10.5337	10.6924	9.858	12.1872	10.4404
C16orf11	0	0	0	0	0	0	0	0	0	0	0	0.8833	0	0	0	0
RPL37	13.1793	13.4636	13.5953	13.1194	13.5913	14.255	13.6777	14.7623	15.0678	13.5941	13.9037	12.8445	14.8558	13.7255	13.5815	13.0552
SPR	10.3174	10.044	10.8007	9.7012	10.3079	11.0367	10.8843	11.4951	11.3814	10.3888	11.2524	10.7656	11.8355	9.7439	10.8406	10.4806
ZNF700	4.7004	8.3092	8.6678	8.301	7.8933	8.7495	7.6527	7.4955	6.6447	9.1249	7.618	8.3457	7.0801	8.2	6.5083	7.8289
ZNF707	6.9773	7.4953	7.1131	6.5221	9.104	7.8751	7.2319	7.8234	6.95	8.095	7.0695	6.8978	8.2689	8.0453	7.8	7.4422
CAMK4	4.7004	3.9282	2.7846	2.2594	4.2293	3.3116	3.622	2.1833	2.5153	3.9955	2.2878	3.5825	0	4.3319	2.8935	4.0911
ZNF704	0	7.3481	6.0399	6.2974	8.0433	7.527	6.4795	8.6052	5.6813	6.2273	6.7606	7.0889	8.1258	6.9841	7.2183	7.3347
LOC339240	0	0	0	0	0	1.3914	2.1354	1.749	0	1.412	2.2878	0.8833	0	0	0	0
GOLGA6B	0	0	0	0	0	0.8573	0	0	0	0.8723	2.2878	1.8212	0	0	0	0
RNF115	6.6582	8.543	8.1682	8.5326	8.7585	8.6422	8.3965	9.1933	8.2351	7.9475	8.6612	8.4883	7.9481	8.0712	8.3477	9.1851
