Symbol	Lung-60-2710-01	Lung-18-4086-01	Lung-22-4613-01	Lung-37-4132-01	Lung-22-4591-01	Lung-18-3410-01	Lung-64-1680-01	Lung-21-1070-01	Lung-66-2780-01	Lung-66-2787-01	Lung-66-2766-01
RNF14	-0.093416667	0.243833333	0.204166667	0.268083333	0.48425	0.57325	1.18325	0.06475	0.477583333	0.161166667	1.447
DUOXA1	3.2345	3.2715	2.083	1.5045	1.831	2.348	2.5855	2.8535	2.718	0.3125	2.504
UBE2Q2	0.004	1.489666667	-0.148166667	0.998833333	1.007333333	0.193333333	1.1395	0.496166667	1.489666667	1.0455	1.797666667
RNF10	-0.162875	-0.765875	-0.573125	-0.56775	0.132875	-0.13025	-0.282125	0.702	-0.058	-0.190875	-0.60025
RNF11	1.206	0.18175	0.859	0.39225	-0.01975	1.0635	0.534	0.546	1.04525	-0.09325	-0.44725
RNF12	-0.256166667	-0.497166667	-0.0705	-1.1115	0.457833333	-0.453	-0.576666667	-0.075333333	0.2145	-0.084	-0.939666667
RNF13	1.425	2.224	0.1085	1.4005	0.8715	0.609	0.892	0.761	1.579	1.895	2.1605
REM1	-0.7605	0.387	-0.2365	0.36	0.521	4.6265	0.342	0.2145	0.704	0.3775	0.329
REM2	-0.017	-0.0435	-0.4305	0.501	0.2075	0.0245	-0.5045	0.015	0.036	-0.2785	0.2755
SYNGR2	1.107666667	1.3485	1.5855	0.422833333	0.184	2.1745	1.6705	0.1275	1.423333333	1.692	0.714666667
C16orf13	-0.10675	0.580625	-0.04725	1.005	-0.52225	-0.448375	0.725625	-0.495	0.03075	-0.359375	0.20675
DUOXA2	1.264	1.31475	0.34475	0.26025	0.63225	1.262	1.229	3.11825	2.0425	1.0185	0.76625
ATRX	-0.1988	-0.8496	-1.108888889	-0.848	-1.1199	-0.3072	0.0694	-0.6722	-0.7043	-0.2466	-1.1116
PMM2	-0.0705	0.216666667	-0.597166667	-0.207	-0.377833333	-1.006666667	-0.1285	-0.454	0.018333333	-1.1185	-0.686
PMM1	0.21225	0.248	-0.13525	-0.642	0.0815	-0.14675	0.71875	-0.66175	0.32075	-0.16775	0.327
ASS1	-1.033	-1.0455	-1.730833333	-1.252166667	-0.770166667	-1.451333333	0.7165	0.623333333	-0.835833333	-0.867166667	-0.454833333
NCBP1	0.494166667	-0.455166667	-0.615166667	-0.038333333	-0.408333333	-0.171833333	-1.605333333	-0.397666667	-0.285333333	-0.306666667	-0.427666667
HMG1L1	-0.326	0.172	-1.06425	-0.46525	0.062	0.29775	-0.3235	-0.4455	-0.35675	0.547	0.2835
ZNF708	-0.867833333	-0.4648	-0.218833333	-0.6418	0.212166667	-0.492666667	-0.4135	-1.184333333	-0.874666667	-0.077666667	-0.1265
RBM14	-0.497	-0.513	-0.10575	-0.5675	0.5535	-0.60425	-0.7415	0.256	-0.415	-0.04325	-0.79825
CBX3	-0.457	-0.469625	0.46425	-0.03125	0.319375	-0.302	-0.311875	-0.891625	-0.272125	-0.5045	-0.660875
C6orf142	0.53025	0.4785	1.19975	-0.3265	-0.0415	-0.46525	-0.69825	0.45225	0.3855	3.39625	0.91475
ZNF703	0.9935	1.337	0.422666667	0.8845	0.936	0.156333333	0.309166667	0.1805	0.6805	0.447333333	0.443166667
ZNF702	-0.252666667	-1.011	-1.0574	0.502833333	0.363166667	-1.4465	0.9575	-0.409166667	1.726	-1.127	-0.9085
SPR	0.491333333	0.815833333	1.171333333	0.446666667	0.090333333	0.089166667	1.9265	0.071666667	1.187666667	0.838333333	1.097333333
UNQ9438	0.424666667	0.622666667	0.320666667	0.8485	0.2875	0.872333333	0.700833333	0.476	0.214166667	0.607	0.953833333
ZNF707	0.167833333	-0.391833333	0.432666667	0.469	-0.45	0.049833333	-0.393	0.4865	-0.098166667	-0.338666667	-0.3525
ZNF706	0.9551	1.0513	0.621	0.6157	-0.3894	0.4887	0.1017	0.9427	0.4068	1.1069	1.4318
ZNF704	1.086666667	0.244	-0.656166667	1.071166667	-0.003166667	-1.363166667	-0.292833333	-0.115833333	0.502833333	0.794833333	0.4615
ZC3H10	0.2398	0.2728	0.5846	0.4452	0.2433	0.5108	0.5401	0.1327	-0.0438	0.6156	0.0289
ZC3H13	0.171333333	-0.5705	-0.540818182	-0.513083333	-0.5315	0.015166667	-0.292333333	-0.236166667	-0.30875	0.318	0.01375
ZC3H15	-0.077	-0.445	-0.50725	-0.07925	0.1605	0.15475	-0.20225	-0.438	-0.206	0.60825	0.0875
ZC3H14	-0.772125	-0.808125	-1.134125	-0.93125	-0.095875	-0.71525	-0.6075	-0.13275	0.093875	-0.218625	-0.374125
SPN	-0.304375	-0.012625	-0.158375	-0.154125	-1.056875	-0.809375	-1.298625	0.06975	-0.736875	0.35875	-0.8535
RNF111	0.80475	0.12425	-0.9335	-0.2725	-0.8985	0.51325	0.74625	0.14075	1.036	0.07625	0.4155
NACAP1	0.059	-0.11375	0.79125	-0.4115	0.14325	0.09325	0.043	0.2765	0.21975	-0.14275	-0.34025
CEACAM5	1.0485	1.715875	0.04725	-1.10225	2.915625	-2.494625	1.38425	4.3685	0.747	0.958375	-1.3125
GRIN1	0.774857143	1.214428571	-0.358928571	1.357	-0.130357143	1.111785714	0.642357143	0.756428571	0.833714286	0.617428571	0.8505
C16orf14	-1.1585	-0.12225	-0.66575	0.81175	-0.60075	-1.12625	0.34	-0.7925	0.103	-1.011	0.39925
FOXQ1	1.264375	1.039125	-0.377875	2.2255	1.0685	1.094375	1.353125	1.577375	0.6755	-1.925375	-0.422625
ZNF533	2.041714286	-0.303142857	-1.011166667	-0.074071429	0.396071429	3.810857143	1.553857143	1.3295	-0.333928571	0.293071429	1.400357143
TCOF1	-1.4015	-1.2015	-1.861666667	-2.204	-1.780333333	-2.0155	-2.078	-0.656833333	-1.823666667	-1.467	-1.813333333
CEACAM7	1.4905	1.464833333	0.018818182	0.314181818	2.521833333	0.016	3.6195	4.522166667	2.01575	0.19975	0.075166667
NUP98	0.230416667	-0.16275	0.454833333	-0.56775	0.564166667	-0.725916667	-0.87725	-0.324333333	-0.633583333	0.217083333	-0.448583333
XPC	-0.749333333	-1.172	-1.959	-1.805333333	-1.685333333	-1.1295	-0.452666667	-0.943166667	-1.591666667	-0.305333333	-1.136833333
SP1	0.82625	0.1675	-0.7065	0.092	0.724625	1.38775	-0.18275	1.747	1.64625	1.045	0.813875
GRINA	0.472	-0.15	0.2755	0.169	-0.1875	0.713	-0.171	0.411	0.9615	0.0605	-0.04
CEACAM6	3.411	5.042	0.9468	-0.05	4.1403	-0.4705	7.9845	5.1196	2.3888	1.9565	0.5702
