.	clusterCut_r
CCRL1	1
LAMC2	1
FABP3	1
FAM180A	1
ABI3BP	1
PRPH2	1
ACSS3	1
TCEAL7	1
MFAP5	1
KCND2	1
OSR2	1
GALNT13	1
RPRM	1
IGFBP5	1
ZSCAN12P1	1
RGS22	1
EFCAB1	1
BMPER	1
ADAM33	1
OSR1	1
FAM70A	1
TMEM200C	1
KCNK1	1
LAMA1	1
DOK5	1
C1QTNF3	1
LRRN3	1
IGSF10	1
OGN	1
ASPN	1
CTTNBP2	1
NRK	1
C1QTNF7	1
PDZRN4	1
AGT	1
ANGPTL1	1
SLC7A2	1
ZCCHC5	1
HTR2A	1
SULF1	1
LOC134466	1
ITGA11	1
FIBIN	1
STAC	1
ENPP1	1
KLHL4	1
PCDH7	1
CDKN2A	1
CDKN2BAS	1
TMEM108	1
GRIA3	1
NTN1	1
LYPD6	1
AMPH	1
ADCY1	1
PTPRD	1
MMP16	1
ANK1	1
ESRRB	1
BMP8B	1
ITGB8	1
FOXD3	1
HAP1	1
ST6GALNAC2	1
GAL3ST1	1
MIA	1
CDH19	1
SOX10	1
PMP2	1
GFRA3	1
RASGEF1C	1
ERBB3	1
AZGP1	1
PADI2	1
L1CAM	1
MAL	1
SEC14L5	1
PPL	1
GFAP	1
MT3	1
DUOXA1	1
DUOX1	1
DUOXA2	1
DUOX2	1
RND2	1
SEMA3B	1
SLC4A4	1
SAMD12	1
ANXA3	1
WIPF3	1
COL4A4	1
COL4A3	1
ADCYAP1	1
KRT1	1
TPSD1	1
HPGD	1
SLC18A2	1
CMA1	1
C1orf186	1
CTSG	1
CPA3	1
TPSB2	1
TPSAB1	1
MS4A2	1
HDC	1
SELE	1
TACR1	1
LTF	1
MMRN1	1
DARC	1
SELP	1
MUSTN1	1
ITIH3	1
LOC145820	1
FHL5	1
SUSD2	1
ALDH1A1	1
REN	1
ADRB3	1
MAT1A	1
LBP	1
TEX11	1
SPINK13	1
SPINK6	1
GLDN	1
BHLHE22	1
HS3ST2	1
ABCB5	1
FST	1
TSLP	1
HRCT1	1
WFDC3	1
ACSM5	1
UPK3A	1
PPP2R2B	1
C20orf26	1
CHI3L2	1
IL24	1
FCRLA	1
ZNF676	1
ZNF208	1
VWC2	1
C21orf15	1
TBC1D3G	1
PPAN-P2RY11	1
MAEL	1
SPAG17	1
PTPN20B	1
SLC38A11	1
CDH6	1
DIRAS3	1
NTRK3	1
RBP1	1
PLA1A	1
BPI	1
KIAA1755	1
C4A	1
PLCXD3	1
C7	1
C6	1
SERPINA3	1
CP	1
B3GALT2	1
FOLR1	1
C16orf89	1
ZBTB7C	1
ESPNL	1
SFRP1	1
FAIM2	1
PLEKHA6	1
CPA1	1
SRL	1
ATP1A2	1
PYGM	1
ABCC6P2	1
ABCC6	1
GPR81	1
WFIKKN2	1
CAMK2B	1
KCNJ11	1
ABCC8	1
NRG2	1
PIP5K1B	1
CACNA1E	1
KLHDC8A	1
COL22A1	1
FMN2	1
GREM2	1
RGS11	1
ECHDC3	1
SH3GL3	1
SLC44A5	1
SNAP91	1
MYO16	1
GDA	1
PIK3C2G	1
RERGL	1
SILV	1
CHRNA3	1
INSC	1
CALCA	1
CALCB	1
TEX15	1
NSUN7	1
GRIP1	1
RASEF	1
CDKL2	1
FAM160A1	1
ESYT3	1
CTXN1	1
NNAT	1
CLEC2L	1
KCNAB3	1
KCNJ4	1
ADAMTS19	1
SYT9	1
UNC5D	1
ZCCHC12	1
PRL	1
OSTN	1
IRS4	1
ELAVL2	1
RORB	1
RGS7	1
SPOCK3	1
GABRA2	1
DPP10	1
CCNA1	1
C13orf36	1
MUM1L1	1
DIRAS2	1
LOC283392	1
TRHDE	1
SYT10	1
AQP4	1
STON1-GTF2A1L	1
CLVS2	1
CHDH	1
CACNA1D	1
PCSK1N	1
MSI1	1
OGDHL	1
ZSWIM5	1
MACROD2	1
STK33	1
MAP6	1
NME5	1
DPY19L2	1
LRRN2	1
ARHGEF4	1
SLC4A3	1
WNK2	1
DPYSL4	1
SLC16A9	1
SPTBN2	1
EXTL1	1
PSD	1
NEURL	1
C12orf68	1
JAKMIP2	1
C1orf187	1
SLC38A3	1
CYP24A1	1
UGT3A2	1
C1orf106	1
CALN1	1
TLL2	1
GJA3	1
HPCAL4	1
FSTL4	1
SYT14	1
RSPO1	1
C20orf103	1
MCF2	1
KIAA1210	1
HAND1	1
ZNF536	1
GATA5	1
GSG1L	1
CA14	1
BRSK2	1
CHD5	1
PPP2R2C	1
CACNA1B	1
CGN	1
CDC42BPG	1
HOOK1	1
CNTNAP2	1
CNTN2	1
EEF1A2	1
FSD1	1
B4GALNT4	1
TMEM59L	1
C12orf53	1
PALM3	1
C2CD4C	1
CELF5	1
BEGAIN	1
KIRREL2	1
DGCR5	1
APLP1	1
PDZD4	1
SRCIN1	1
KIF1A	1
RTN4R	1
RAP1GAP	1
FAM150B	1
EVPL	1
TNK1	1
LGR6	1
CACNA1H	1
ANO1	1
LRRC4B	1
SYT2	1
YBX2	1
SLC2A4	1
HRNBP3	1
RIC3	1
ZDHHC8P1	1
PPP1R1A	1
GAL3ST3	1
JPH4	1
DBC1	1
PDE11A	1
ASTN1	1
FAM5B	1
DPP6	1
FAM181B	1
ANKRD45	1
ATP2B2	1
ACADL	1
GPRIN2	1
DRD1	1
PLD5	1
CLEC3A	1
PROM1	1
CHRM2	1
GABBR2	1
CCKBR	1
SLC8A2	1
SLC7A3	1
FBN3	1
BEX1	1
CTSL2	1
CXADR	1
GAD1	1
C4orf19	1
ALDH1A2	1
SLAIN1	1
BEX2	1
IL28RA	1
SLC35F3	1
NAP1L2	1
NELL2	1
LOC645323	1
SOX2	1
GPR98	1
FREM2	1
C1orf114	1
KIF5A	1
WDR72	1
SLC9A2	1
CKMT1B	1
ESRP1	1
RNF43	1
SCAND3	1
GATA4	1
KIAA1543	1
PRSS16	1
ARX	1
LRAT	1
SOX3	1
OPRK1	1
NPY	1
ENHO	1
PRRT4	1
CNTFR	1
FBLL1	1
MAPK8IP2	1
RET	1
SCN5A	1
KCNC1	1
C2orf72	1
CNNM1	1
ENPP6	1
ADAMTS18	1
PEG3	1
HPSE2	1
FAM19A2	1
THSD7B	1
NPY1R	1
DIO3	1
C7orf51	1
DSCAML1	1
HIF3A	1
LMO3	1
SHISA3	1
DCHS2	1
DGKB	1
FREM1	1
GPR20	1
PDE8B	1
SULT1C4	1
CHRM3	1
ESRRG	1
SLC38A4	1
BBOX1	1
ANO3	1
SMOC1	1
ITGA10	1
FHOD3	1
FAM84A	1
UBE2QL1	1
ST6GALNAC5	1
GREM1	1
TMEM200A	1
ST6GAL2	1
ACAN	1
DNAJC22	1
CSRP2	1
CHST6	1
COL8A2	1
COL8A1	1
TNC	1
INHBA	1
UNC5C	1
EYA1	1
DDIT4L	1
RANBP3L	1
COL21A1	1
ZNF334	1
THNSL2	1
CCL28	1
EXPH5	1
CYB5R2	1
RHOD	1
TMEM98	1
DIRAS1	1
ADORA1	1
MEIS3	1
ROR2	1
MYOZ3	1
GLI1	1
LRRN1	1
RASL11B	1
DLG2	1
NCAM1	1
C1orf133	1
SERTAD4	1
PTN	1
MRAP2	1
GADL1	1
SLCO5A1	1
BEX5	1
C14orf64	1
BCL11B	1
TC2N	1
FLJ40330	1
CCDC64	1
SPIB	1
GABRR1	1
OTX1	1
NXPH2	1
LHX2	1
TMSB15A	1
PAX9	1
FOXA1	1
HOXC12	1
HOXC13	1
HOXC11	1
HOTAIR	1
DYNC1I1	1
DLX5	1
DLX6	1
DLX6AS	1
NTF3	1
STAC2	1
KCNH3	1
C1QL4	1
PRPH	1
MKX	1
ARMC4	1
DPY19L2P1	1
C8orf85	1
SOX6	1
CYP2J2	1
GRIA2	1
SLC35F1	1
PRLR	1
LRRC2	1
RSPO3	1
PGR	1
ESR1	1
WSCD2	1
CBLN1	1
DSCAM	1
RELN	1
DAB1	1
EPHB1	1
BHMT2	1
DMGDH	1
ARHGAP20	1
KIAA0408	1
IL33	1
FGF7	1
HRASLS5	1
CHRDL1	1
HSPB2	1
CRYAB	1
LGI4	1
FXYD1	1
PTGER3	1
MRGPRF	1
TNFAIP8L3	1
HSPB6	1
HSPB8	1
SOD3	1
PRELP	1
SLC24A3	1
SLC26A10	1
B4GALNT1	1
FOXF1	1
FGF13	1
DCAF12L2	1
KIAA2022	1
KLHL13	1
PRIMA1	1
WBSCR17	1
KCNB1	1
CNTNAP3	1
PLXNA4	1
GNAO1	1
RNF165	1
TMEM35	1
THSD4	1
PDE1C	1
PTPN3	1
IGSF3	1
MARK1	1
SEMA6D	1
SMAD9	1
STOX2	1
PABPC5	1
NAP1L3	1
CNTN4	1
HUNK	1
ID4	1
ZNF667	1
FGFR2	1
ZDHHC15	1
SALL2	1
ZNF711	1
BEND5	1
TUB	1
SCUBE2	1
HLF	1
AFF3	1
KCNA5	1
ITIH5	1
NTRK2	1
ADAMTS15	1
C8orf79	1
LPL	1
PDK4	1
KLF15	1
ZBTB16	1
CNR1	1
SYBU	1
SCN2B	1
SCN4B	1
ADRA2C	1
C1orf95	1
MGP	1
FMOD	1
SMOC2	1
CPXM2	1
PNMA2	1
OLFM1	1
CRTAC1	1
ADCY2	1
CLSTN2	1
FMO3	1
RXFP1	1
HCN4	1
PPYR1	1
HTR1B	1
SSTR1	1
MYO3A	1
UNC13C	1
COL19A1	1
GSTA1	1
VTCN1	1
FAT2	1
LHFPL4	1
PHEX	1
SERPINA6	1
PPP4R4	1
PART1	1
NR1H4	1
SLC26A7	1
CES1	1
CES4	1
CAMK2A	1
TRIM63	1
IGFN1	1
HHATL	1
FBXO40	1
TRDN	1
KY	1
TCF23	1
DMC1	1
SDR42E1	1
LOC254559	1
ZNF204P	1
MASP1	1
DHDPSL	1
C3orf15	1
PAK6	1
GADD45G	1
IL22RA1	1
EPHX2	1
CLU	1
PCSK1	1
C6orf176	1
EGLN3	1
VLDLR	1
C4orf39	1
IGSF1	1
NRXN3	1
FAM83G	1
PLXNB3	1
KCNMA1	1
DBNDD1	1
