NAME	Ratio	P.value
FOSB	1.142984615	0.005582344
JUN	0.646673077	0.009628457
KLF6	0.625176923	0.006258218
C13orf15	0.539630769	0.006386172
PTGS2	0.487161538	0.004217275
CP	0.475553846	0.006476608
KLF4	0.448546154	0.000466974
SORL1	0.425846154	0.000266893
MCL1	0.421680769	0.005894963
HNRNPH1	0.382892308	0.000801675
HIST1H2AC	0.37655	0.005701837
ITGB1	0.329311538	0.009255652
PLA2G4C	0.322042308	0.008165943
HBEGF	0.316076923	0.001892178
ANKRD36B	0.315657692	0.003747367
NFE2L2	0.308223077	0.008015565
IFI44L	0.289265385	0.00754661
CTNNB1	0.279284615	0.001903383
HNRNPK	0.277769231	0.009070958
APP	0.276319231	0.00861945
PTTG1IP	0.265615385	0.008093224
TRIM22	0.264080769	0.002624858
FABP5L2	0.261638462	0.006673551
WEE1	0.252361538	0.008321567
SRP14P1	0.246907692	0.003790295
PDZK1P1	0.241838462	0.000316764
DDX3X	0.240580769	0.007938667
IMMT	0.233826923	0.009029277
BTG2	0.231653846	0.002726171
PRPF3	0.227784615	0.009099932
CD83	0.226711538	0.002732766
EPAS1	0.223884615	0.005631927
MATR3	0.219215385	0.00181735
BMP2	0.213292308	0.006092389
CCT8	0.207684615	0.001718403
GTF2IP1	0.2051	0.006916758
PSMG2	0.197126923	0.009377654
PSCD1	0.196023077	0.001807513
PCM1	0.195746154	0.004738271
HERC6	0.195665385	0.005700266
ATL2	0.194680769	0.001363096
CCL3	0.190496154	0.006394683
TBC1D23	0.188157692	0.001346819
KIAA2010	0.187865385	0.007527506
SLFN11	0.1872	0.007974407
ARHGEF7	0.186626923	0.006057964
SNORA61	0.186142308	0.007577378
FLJ10081	0.184046154	0.009439378
EXOSC10	0.1834	0.000664257
SPRY4	0.181280769	0.009207608
C20orf111	0.180323077	0.001253617
CBWD5	0.178592308	0.006878806
WAC	0.176519231	0.002330457
GPBP1	0.175792308	0.002018947
BBX	0.17515	0.005073656
TPM4	0.173546154	0.000677008
TBC1D2B	0.172784615	0.007261585
ENTPD1	0.171684615	0.004789847
STK38	0.171169231	0.009651818
DDIT3	0.170092308	0.007596694
PICALM	0.169834615	0.007252688
PPP3CC	0.169634615	0.004933989
ANAPC5	0.168815385	0.001155643
