ID	group
1	A
2	A
3	A
4	A
5	B
6	B
7	A
8	A
9	B
10	B
11	B
12	B
13	A
14	A
15	C
16	C
17	C
18	C
19	C
20	A
21	A
22	A
23	A
24	A
25	A
26	C
27	A
28	A
29	A
30	A
31	A
32	B
33	B
34	B
35	A
36	A
37	A
38	A
39	A
40	A
41	A
42	C
43	C
44	C
45	C
46	A
47	A
48	A
49	A
50	A
51	A
52	A
53	A
54	A
55	A
56	A
57	A
58	A
59	A
60	A
61	A
62	A
63	A
64	A
65	A
66	A
67	B
68	B
69	C
70	C
71	C
72	C
73	C
74	C
75	C
76	C
77	C
78	C
79	C
80	C
81	C
82	C
83	A
84	A
85	B
86	B
87	B
88	B
89	B
90	B
91	B
92	B
93	B
94	B
95	B
96	B
97	B
98	B
99	B
100	B
