sample	clusterCut
GSM136579	1
GSM136580	2
GSM136581	1
GSM136582	2
GSM136583	1
GSM136584	2
GSM136585	1
GSM136586	1
GSM136587	1
GSM136588	1
GSM136589	1
GSM136590	2
GSM136591	2
GSM136592	1
GSM136593	1
GSM136594	2
GSM136595	1
GSM136596	1
GSM136597	1
GSM136598	1
GSM136599	1
GSM136600	1
GSM136601	1
GSM136602	2
GSM136603	2
GSM136604	1
GSM136605	2
GSM136606	2
GSM136607	2
GSM136608	1
GSM136609	1
GSM136610	1
GSM136611	1
GSM136612	2
GSM136613	2
GSM136614	2
GSM136615	2
GSM136616	1
GSM136617	2
GSM136618	2
GSM136619	1
GSM136620	1
GSM136621	1
GSM136622	2
GSM136623	1
GSM136624	1
GSM136625	2
GSM136626	1
GSM136627	2
GSM136628	1
GSM136629	1
GSM136630	1
GSM136631	1
GSM136632	1
GSM136633	3
GSM136634	1
GSM136635	2
GSM136636	2
GSM136637	1
GSM136638	2
GSM136639	1
GSM136640	2
GSM136641	1
GSM136642	2
GSM136643	2
GSM136644	2
GSM136645	1
GSM136646	2
GSM136647	2
GSM136648	1
GSM136649	2
GSM136650	1
GSM136651	2
GSM136652	2
GSM136653	2
GSM136654	1
GSM136655	2
GSM136656	2
GSM136657	1
