SYMBOL	S0444817	S0446692	S0446738	S0447112	S0447456	S0447671	S0448523	S0449073	S0449358	S0450019	S0450240	S0450317	S0451357	S0451702	S0451862	S0452241	S0452832	S0452883	S0452999	S0453193	S0453583	S0453681	S0453869	S0453908
BARX1	-2.360089877	-0.10131699	-0.441026896	-0.047678583	-0.154955396	0.160915219	0.053638406	-0.035758938	0.375468844	0.095357167	-2.157455898	0.065558052	0.035758938	-2.270692533	0.154955396	-0.178794688	-0.071517875	-2.562723856	0.762857334	0.870134147	-0.882053792	0.04171876	0.667500167	0.554263532
C2orf40	-2.296667746	-0.027792459	-0.917151146	0.219813085	0.330982921	0.593747987	0.396674187	0.007579762	0.487631326	-1.144543992	-1.983370936	0.169281341	0.760502741	-1.6751273	0.674598777	-0.57353529	0.386567838	-1.867147926	-2.352252664	-0.60890751	-0.088430551	0.154121818	0.4926845	-0.007579762
CAV1	-1.920426401	-0.314455785	-1.291514831	1.561048361	1.549817797	-0.123536201	-0.168458456	0.426761422	0.943367355	-0.258302966	-0.920906227	0.8984451	0.774908899	-1.70704569	0.123536201	-0.44922255	0.381839167	-2.268573877	0.561528187	0.112305637	-0.909675664	0.022461127	0.157227892	-0.022461127
CNN1	-2.31284344	0.350000848	-0.170270683	0.420946966	0.39729826	-0.264865506	-0.061486635	0.387838777	0.63851506	0.089865083	-1.589193038	0.856083155	0.425676707	-2.468924899	0.004729741	-0.037837929	0.0804056	-2.814196005	-0.061486635	0.491893083	-0.629055578	-0.042567671	-0.004729741	0.122973271
CTGF	-0.980367093	-0.967207803	-0.493473369	-0.282924732	1.019844962	0.348721181	-0.546110528	-0.098694674	-0.585588398	0.361880471	0.243446862	-0.032898225	0.177650413	-2.796349091	0.072376094	0.032898225	-0.559269818	-0.822455615	1.24355289	1.940995251	0.138172543	-1.283030759	1.440942237	0.980367093
CXCL12	-1.241815663	-0.149722456	-0.66934745	1.373923713	1.523646169	-0.484396181	0.149722456	-0.369902538	0.176144066	0.819069906	-0.810262702	-0.422745758	0.202565676	0.56366101	0.572468214	-0.396324148	-0.493203384	-0.184951269	2.791883442	1.629332608	-0.942370752	-0.466781774	0.977599565	1.611718201
CYR61	-0.989640971	-0.577767272	-0.120129829	0.795145058	1.504483095	0.005720468	-0.02860234	-0.737940377	-0.337507614	1.104050332	-1.332869053	0.406153231	0.280302934	-0.429035103	0.886672546	-0.005720468	-0.463357911	-1.172695948	1.676097136	1.596010583	0.223098254	-1.390073734	2.053648026	1.218459693
DES	-2.276956037	0.190159727	0.064488951	0.014882066	-0.03472482	-0.259609367	-0.028110568	0.259609367	0.322444755	0.381973017	-2.382784059	0.484493913	-0.001653563	-2.224042026	0.001653563	-0.090945956	-0.163702722	-2.495226333	1.026862526	0.735835466	-0.606857564	-0.107481585	0.097560208	0.391894394
FOXF1	-3.153636607	-0.061491522	-0.316242111	-0.36894913	-0.439225154	0.316242111	0.11419854	0.061491522	0.263535093	-0.764251768	-2.47722987	0.158121056	0.122983043	-1.704193598	0.245966086	-0.386518136	0.412871645	-2.134634249	-0.079060528	0.079060528	-0.834527793	0.254750589	0.790605278	0.421656148
FRZB	-2.508492374	-0.302069762	-0.919342755	-0.932476223	0.801141543	1.418414536	-0.013133468	0.157601615	0.157601615	-2.324623823	-1.103211306	0.643539928	1.07694437	-1.3921476	0.866808883	-0.512205249	0.866808883	-0.223268955	0.013133468	0.669806864	-0.6960738	0.039400404	-0.302069762	0.144468147
H19	-0.361269075	-1.255840118	-0.636521704	1.307449986	1.68592235	0.473090455	-1.427873011	0.799952952	-0.094618091	-0.395675654	1.857955243	1.307449986	0.301057562	-1.393466432	0.533301968	1.049400646	0.094618091	0.662326637	-0.36987072	-0.473090455	-1.07520558	-0.731139795	0.774148018	-1.290246696
IGF1	-1.214137112	-0.731926628	-0.964420968	0.361657863	1.438020551	0.034443606	0.103330818	-0.223883439	0.163607129	0.998864574	-1.231358915	0.025832705	1.66190399	-1.593016778	-0.034443606	-0.413323272	-0.025832705	-1.257191619	2.126892671	1.326078831	-1.179693506	-0.413323272	0.335825159	0.499432287
MYH11	-3.069973752	0.263934395	-0.268564823	0.310238675	0.379695095	-0.050934708	0.129651984	0.305608247	0.666781629	-0.685303341	-1.657693218	0.578803498	0.449151514	-1.916997185	0.250043111	-0.194477975	0.222260543	-2.505061539	-1.190019992	0.027782568	-0.57417307	-0.027782568	0.175956263	-0.120391128
MYLK	-2.638148227	0	-0.572755865	0.512009031	0.650858938	0	-0.034712477	0.659537057	1.024018062	-0.459940316	-1.588095808	1.128155492	0.694249533	-1.900508098	0.269021694	0.008678119	0.017356238	-1.952576813	-1.084764896	0.503330912	-0.885168155	-0.034712477	0.642180818	-0.407871601
PBX3	-0.639776702	-0.027816378	-0.547055441	1.214648522	1.65043845	0.343068667	-0.231803153	0.955028991	0.435789928	-1.752431837	0.046360631	0.676865207	1.038478126	0.176170396	0.389429297	-0.027816378	0.027816378	-0.74177009	-3.096890125	-0.676865207	-0.482150558	-0.185442522	0.862307729	-0.695409459
