NAME	GSM136579	GSM136580	GSM136581	GSM136582	GSM136583	GSM136584	GSM136585	GSM136586	GSM136587	GSM136588	GSM136589	GSM136590	GSM136591	GSM136592	GSM136593	GSM136594	GSM136595	GSM136596	GSM136597	GSM136598	GSM136599	GSM136600	GSM136601	GSM136602	GSM136603	GSM136604	GSM136605	GSM136606	GSM136607	GSM136608	GSM136609	GSM136610	GSM136611	GSM136612	GSM136613	GSM136614	GSM136615	GSM136616	GSM136617	GSM136618	GSM136619	GSM136620	GSM136621	GSM136622	GSM136623	GSM136624	GSM136625	GSM136626	GSM136627	GSM136628	GSM136629	GSM136630	GSM136631	GSM136632	GSM136633	GSM136634	GSM136635	GSM136636	GSM136637	GSM136638	GSM136639	GSM136640	GSM136641	GSM136642	GSM136643	GSM136644	GSM136645	GSM136646	GSM136647	GSM136648	GSM136649	GSM136650	GSM136651	GSM136652	GSM136653	GSM136654	GSM136655	GSM136656	GSM136657
DDR1	0.7226	0.252	1.4087	-1.6389	0.1956	-1.4942	1.3279	0.2174	-0.6366	1.1632	1.3964	-0.1335	-1.2889	-0.7584	0.1215	-1.5114	0.1926	1.4517	-0.2023	1.0597	-0.3241	0.7226	0.9461	0.1541	-1.2687	-0.3284	-0.464	-0.0936	-1.2167	-0.379	1.9152	1.2801	-0.0625	-0.291	0.3743	-0.5805	-1.0997	-0.8613	1.0425	-2.1593	1.1765	0.7391	0.1623	-0.6027	0.0843	0.1663	-1.3245	0.2255	-0.8632	1.1301	0.8418	-0.7308	1.0453	0.1205	0.6599	0.4019	-1.0455	-0.6011	0.6398	-1.4441	0.1663	-0.242	1.3964	-1.2657	-0.9553	-2.6127	0.1339	-1.6146	-0.0436	1.1278	-1.1552	0.1066	0.317	-1.8738	-1.3992	1.1607	0.0807	-0.9898	0.1215
HSPA6	0.9568	1.9907	-0.0813	-0.5634	3.1965	-0.552	-0.0728	0.6934	0.2702	-0.3781	1.8217	-0.6817	-0.7287	1.2456	-0.0173	1.5145	0.4153	2.3257	-0.0188	3.6467	-0.5959	0.1905	0.4498	-0.2622	-0.1614	-0.0381	0.3861	0.821	-0.3057	0.2067	-0.0884	3.2692	3.6987	2.2984	0.3627	-0.5974	-0.14	2.285	-1.3479	-0.3377	-0.1607	-0.0041	0.4783	-0.2997	-0.1914	-0.1318	0.1433	2.428	-0.0381	-0.3647	0.1187	0.5092	-0.2501	-0.115	0.2222	1.9512	-0.1675	0.0881	1.2611	-0.1982	0.1287	-0.051	-0.2871	-0.1624	-0.0214	-0.3315	1.1327	-0.1439	0.8027	0.645	-0.2697	-0.2056	0.0036	-0.291	-0.566	-0.4056	-0.234	0.7267	0.8373
CCL5	-0.3272	0.5186	-1.4629	-0.9553	-0.1939	0.4446	-0.5938	0.6371	1.418	1.1911	-2.1151	-0.0108	1.6518	1.9703	1.472	0.1623	-0.2403	-1.1116	3.3636	-1.0832	-1.2687	0.2495	-0.3335	-0.7952	1.0099	1.7177	0.2854	-0.1685	1.1327	0.4656	-0.5116	-1.3175	-1.0273	-0.0205	0.7705	0.2328	0.3769	3.1774	0.2508	1.7505	0.30620000000000003	-1.0315	-0.9081	-2.7139	-0.6207	-1.8667	-0.0981	-0.67	-0.0823	0.8605	-1.9793	3.3834	-0.6278	-1.459	-0.9724	3.4904	0.3845	0.2375	-0.584	0.7982	-0.9584	0.6984	-0.264	0.4446	0.5338	-2.1035	-0.1318	-0.5215	-1.4024	-1.9223	0.4991	-1.1116	-1.3679	0.059	0.5011	-1.7515	0.2817	-1.2556	0.7409
CYP2E1	-3.3321	2.9527	-3.6072	3.3089	-3.6072	2.1599	-2.0507	-3.1392	-3.3864	-3.6844	0.7682	3.3636	1.3222	-3.4236	-3.6072	2.6365	-3.8398	-0.1473	-3.5307	-3.8939	-3.6072	-3.2724	-3.5751	2.7171	2.5269	-3.8398	2.6464	2.8943	4.2309	-3.5751	-3.4236	-2.9443	-4.4211	3.2692	2.9527	3.0031	2.2538	-3.4607	1.7909	2.7765	-0.1624	-3.1392	-2.0936	3.1298	-3.3321	1.1656	2.4084	-1.7081	2.3938	-2.9038	-0.4545	-3.0175	-3.298	2.0893	2.9936	-0.2015	2.3127	2.7563	-3.3864	1.8528	-3.5751	3.1033	-0.1088	2.3787	2.5183	2.7666	-3.4607	2.428	2.8313	-2.49	2.6365	-3.4963	1.7946	2.4527	1.9044	-4.5969	2.6565	2.3584	-3.3584
CYP2A6	-1.0087	1.0453	-1.1492	0.1642	0.2109	4.6686	-0.0281	-0.5823	-0.6333	-0.8862	-0.6417	3.6467	1.9291	-0.5464	-0.4204	4.6686	-0.4612	-0.1005	-1.2816	-0.8632	-0.9168	-1.0241	-0.4531	4.9776	5.459	-0.8534	4.3428	2.268	-2.2613	-1.1552	-0.6027	0.1562	-0.6532	2.0844	4.2309	1.7001	4.1232	-0.7857	5.459	0.4264	0.5965	-0.5464	-1.4196	2.3388	-0.3566	0.4035	3.0727	2.4607	5.1161	-0.6513	-0.3674	-0.6107	-0.442	-0.6278	-2.6288	1.9417	6.0398	4.1645	-0.3781	4.9776	-0.4738	1.6014	-1.0016	3.9606	6.0398	2.285	-1.4479	1.8344	3.1965	-0.7563	5.6898	-0.7992	2.9083	2.3521	1.6475	-0.8076	2.5786	2.196	-0.514
S100A11	0.4783	0.8418	0.1905	-0.2175	1.3021	-1.44	1.8617	1.3903	0.9015	0.2952	1.2562	-2.2505	0.976	0.4019	0.0769	-0.0019	1.5642	1.0099	0.821	-0.1693	0.2941	1.1887	-0.1126	-1.0315	-0.7689	0.6961	-0.6241	1.1111	0.2398	0.6104	0.3926	-0.2248	1.0045	0.6961	-0.2707	-0.8755	-1.7184	0.30620000000000003	-0.1035	-0.8835	-0.4355	1.0551	-0.1157	-1.0241	-0.0702	0.3589	-1.7689	-0.3898	-1.9089	0.3449	1.3841	0.3047	0.2422	-0.485	0.7308	0.3279	-1.2657	-1.9402	0.5418	-1.2139	0.6537	0.338	-0.0404	-1.3282	-1.4284	-1.0141	0.1541	-1.3992	0.3743	-0.0236	-1.4479	0.0499	-0.1719	-1.1246	-1.2996	0.257	0.3091	-2.1421	-0.0351
SPARC	0.7934	-0.7086	-0.1088	0.5877	-1.5797	0.038	0.7962	1.3454	1.6623000000000001	1.418	-0.0855	-1.3321	0.8675	0.5146	0.0102	-0.3967	0.9215	-2.2363	0.8055	-0.2656	0.7631	1.1233	0.7332	-1.746	-0.6107	2.0294	-0.1736	-1.6253	0.8007	1.4542	0.3942	-0.2085	0.7606	0.0297	-0.6719	0.4744	-0.8737	1.1181	-0.242	0.0658	-1.2996	-0.7713	1.2744	-0.4499	-1.2785	-1.2038	-0.8435	-3.0871	-0.7736	-1.4908	0.0102	0.847	-1.2428	0.932	-0.1816	-3.4236	-0.7713	-1.3517	-1.0016	-0.0847	1.3112	-0.0019	-1.2139	-0.688	0.1129	-0.4709	1.5896	-0.8034	-0.2104	0.8916	-1.5196	0.3605	-0.6027	0.2605	0.1692	-0.0685	-0.0728	-0.8201	1.179
SPARCL1	1.1707	-1.3722	-1.2626	0.6665	0.0832	1.8302	-0.0388	0.1037	1.9196	2.7995	-3.9486	0.1758	-0.2831	2.1661	2.2789	-1.2139	-0.2726	-4.5054	1.2637	-2.8459	1.9951	1.2456	2.686	-1.0087	0.1724	1.3222	0.6599	-2.5332	1.9663	2.6261	1.7457	-1.5896	0.2067	-0.264	-1.0547	0.5317	0.2581	2.2022	-0.366	-0.9314	-4.9684	0.3671	0.7844	-0.6758	-0.7952	-1.7038	-0.0388	-2.9038	-0.032	-0.1999	0.0481	3.1774	-1.1552	-4.5054	-0.1422	-1.2495	0.5434	-0.1923	-0.2871	-0.6223	1.3874	-0.3187	-0.0297	0.4035	0.0464	-0.5447	2.4527	0.024	-1.1744	2.1028	-0.7067	0.0727	-2.366	2.0139	0.7804	-1.2167	0.2455	-2.1341	0.3006
MCL1	-0.0884	-0.442	0.1254	0.5533	1.0526	-0.1448	0.4233	-0.0634	-0.1948	0.0183	0.8321	-0.1173	1.9463	0.407	-0.8246	-0.7327	-0.0736	0.6665	-2.2363	-0.0502	-0.1126	1.1656	-0.4709	0.0807	-0.2023	-0.2368	-1.2556	-3.9486	5e-4	1.1937	-0.5464	-0.1576	0.4967	0.4218	0.4132	-1.8207	0.4604	-0.1005	-1.7081	0.3641	-0.3967	0.5944	0.2631	0.1905	0.6934	-0.14	0.407	0.3958	0.2468	-0.6333	-0.0945	-0.5748	1.593	-0.3435	1.418	-0.9211	0.0979	-0.2195	-0.2939	-0.1614	0.6961	1.1504	-1.0241	0.1066	-0.1567	0.6228	-0.3445	0.5703	0.7226	-0.4192	0.2375	4.3428	-2.6722	-0.0152	-0.151	0.9713	-0.057	-0.3136	-0.0918
HSPA1A	0.453	-1.7631	1.1839	-2.7657	1.9152	-1.2524	-2.2172	-0.1094	-0.4499	-1.7877	-2.2893	-0.0973	1.0998000000000001	0.1541	0.7864	0.7332	-1.4024	-2.827	0.3236	-0.0663	0.0573	2.0722	0.976	-0.3377	0.2222	-0.4226	-0.3305	0.8055	-1.2232	-0.6959	2.0893	-1.1054	2.3877	-0.866	0.0323	-2.1877	0.4888	1.3636	-2.5332	-0.3674	-2.827	-2.0203	0.8753	1.068	-2.5577	0.4446	0.4295	-0.5391	0.3657	-1.6756	1.2119	0.383	1.1707	-3.1392	1.1257	-1.3479	0.3104	-0.0869	-1.1812	0.1287	1.0576	0.5553	1.5717	0.3157	-1.7877	-0.057	-1.0577	0.2702	-0.2077	-0.6817	0.2817	2.2984	-2.8819	-0.0855	1.8217	-2.49	-2.7871	-0.372	-0.5553
