sample	TCGA-KN-8419-01	TCGA-KL-8346-01	TCGA-KN-8422-01	TCGA-KN-8431-11	TCGA-KN-8430-11	TCGA-KM-8440-01	TCGA-KO-8414-01	TCGA-KL-8323-01	TCGA-KM-8639-01	TCGA-KO-8415-11	TCGA-KN-8424-11	TCGA-KN-8423-01	TCGA-KN-8426-01	TCGA-KO-8416-01
ARHGEF10L	77.0455	84.8701	83.8232	88.0936	89.195	83.6107	85.443	69.1079	95.6566	86.4245	86.4866	81.3521	87.2326	81.8718
HIF3A	19.8483	17.6476	14.5028	38.7056	48.9554	17.9265	28.1266	11.4486	24.9942	38.4094	50.3493	16.9283	23.8022	18.4962
RNF17	0	0	0	0	0	0	0	0	0	1.4628	0	0	0	0
RNF10	97.2895	97.9191	97.3009	97.0417	97.156	96.1911	98.5	95.4964	97.4695	96.2844	97.4618	98.1165	98.5673	95.893
RNF11	94.4154	89.5012	93.9352	93.0429	90.8162	93.9252	89.2585	93.9113	92.7862	94.4085	93.8842	92.6127	91.2972	92.5016
RNF13	87.9203	86.1895	86.623	87.775	81.9694	92.2435	81.013	88.3345	86.2725	89.0151	88.8219	88.5294	84.3355	89.4345
GTF2IP1	95.5995	97.1753	94.6285	98.542	97.8357	95.8311	92.972	93.541	98.957	97.4904	98.0421	97.1906	97.3162	95.335
REM1	12.0083	14.0525	11.9548	23.9312	22.0474	19.2305	20.2831	11.4486	18.3149	23.1952	24.6803	18.4639	13.7907	23.7133
MTVR2	0	0	0	0	1.5181	1.8499	0	0	1.6531	0	0	0	0	0
RTN4RL2	17.7596	20.8619	11.9548	25.9024	25.337	39.0099	19.9045	13.1378	81.9349	19.3066	18.925	18.3316	35.6558	18.7767
C16orf13	47.8251	81.1629	76.914	62.3999	67.3844	56.4377	72.3219	53.8586	66.1156	64.9461	61.6542	59.0005	64.1165	66.8955
C16orf11	22.1363	52.9486	14.5028	57.727	70.571	12.7161	19.7355	14.1531	9.3783	47.6969	50.1718	32.6231	13.7907	29.4123
FGFR1OP2	69.0092	57.3967	61.146	70.031	62.8162	67.3777	59.1513	65.4171	54.0703	65.8729	67.0996	68.392	71.5451	61.918
TSKS	1.9845	0	0	3.7902	0	0	4.7038	0	4.3608	1.4628	0	12.0773	4.8458	0
ATRX	92.2731	80.2096	73.0416	84.2358	86	89.8891	78.9392	87.9295	80.9181	83.9819	83.2385	92.6932	83.243	86.0285
PMM2	71.7197	83.2969	84.478	48.9481	54.0195	69.1302	87.8866	71.5984	59.7821	55.8902	52.5241	72.0353	84.9034	66.913
LOC100272146	16.3076	22.5826	14.5028	17.2307	20.5655	16.3864	14.0648	16.0824	21.0227	17.8382	21.373	19.2202	19.7809	15.0289
ASS1	34.0345	31.219	35.7371	95.0902	71.6045	29.607	58.9911	45.398	82.8966	99.4724	97.5463	37.9917	39.9596	50.5229
NCBP1	61.7138	58.4829	65.5072	65.22	63.2897	73.5499	69.5229	70.6149	61.7403	66.0851	60.4062	71.4487	61.9314	68.6335
ZNF709	31.681	45.245	33.4736	40.2087	44.0223	35.8471	42.2031	31.9883	33.222	38.5322	40.7009	41.9283	32.0899	37.5825
ZNF708	36.2452	41.1747	36.0156	37.0671	37.0696	48.2062	41.8565	41.7216	34.8751	37.4798	38.9177	54.759	35.4165	40.0333
RBM14	63.5852	82.8188	73.4386	72.2645	76.3259	79.2087	83.9256	74.0686	81.8274	74.0634	71.8604	77.6599	76.7339	77.721
NCBP2	79.9911	80.8678	78.8013	80.9588	83.6462	87.9536	68.387	87.5188	80.7408	84.1466	83.2188	78.0797	71.5538	85.4998
DISC1	31.4936	28.8105	31.2041	25.6148	21.5627	27.0785	27.847	25.5178	33.1726	25.8584	30.5172	34.7395	32.1216	30.5778
