sample	k_8419_01	k_8346_01	k_8422_01	k_8431_11	k_8430_11	k_8440_01	k_8323_01	TCGA_KO_8415_11	k_8424_11	k_8424_11
ARHGEF10L	77.0455	84.8701	83.8232	88.0936	89.195	83.6107	69.1079	86.4245	86.4866	95.6566
HIF3A	19.8483	17.6476	14.5028	38.7056	48.9554	17.9265	11.4486	38.4094	50.3493	24.9942
RNF17	0	0	0	0	0	0	0	1.4628	0	0
RNF10	97.2895	97.9191	97.3009	97.0417	97.156	96.1911	95.4964	96.2844	97.4618	97.4695
RNF11	94.4154	89.5012	93.9352	93.0429	90.8162	93.9252	93.9113	94.4085	93.8842	92.7862
RNF13	87.9203	86.1895	86.623	87.775	81.9694	92.2435	88.3345	89.0151	88.8219	86.2725
GTF2IP1	95.5995	97.1753	94.6285	98.542	97.8357	95.8311	93.541	97.4904	98.0421	98.957
REM1	12.0083	14.0525	11.9548	23.9312	22.0474	19.2305	11.4486	23.1952	24.6803	18.3149
MTVR2	0	0	0	0	1.5181	1.8499	0	0	0	1.6531
RTN4RL2	17.7596	20.8619	11.9548	25.9024	25.337	39.0099	13.1378	19.3066	18.925	81.9349
C16orf13	47.8251	81.1629	76.914	62.3999	67.3844	56.4377	53.8586	64.9461	61.6542	66.1156
C16orf11	22.1363	52.9486	14.5028	57.727	70.571	12.7161	14.1531	47.6969	50.1718	9.3783
C16orf11	69.0092	57.3967	61.146	70.031	62.8162	67.3777	65.4171	65.8729	67.0996	54.0703
