	8Mod_A_001	8Mod_AA_089	8Mod_AB_091	8Mod_AC_105	8Mod_AD_096	8Mod_AE_098	8Mod_AF_104	8Mod_AG_107	8Mod_AG_107r	8Mod_AH_132	8Mod_AI_113	8Mod_AJ_115	8Mod_AK_117	8Mod_AL_127	8Mod_AL_127r	8Mod_AM_129	8Mod_AN_131	8Mod_AO_138	8Mod_AP_146	8Mod_AQ_150	8Mod_AR_119	8Mod_AS_153	8Mod_AT_159	8Mod_AU_163	8Mod_AV_167	8Mod_AW_169	8Mod_AX_171	8Mod_AY_173	8Mod_AZ_179	8Mod_B_003	8Mod_BA_181	8Mod_BB_183	8Mod_BC_185	8Mod_BD_191	8Mod_BE_193	8Mod_BF_199	8Mod_BG_203	8Mod_BH_207	8Mod_BI_211	8Mod_BJ_215	8Mod_BK_217	8Mod_BL_238	8Mod_BM_221	8Mod_BN_223	8Mod_BO_225	8Mod_BP_227	8Mod_BQ_233	8Mod_BR_240	8Mod_BS_242	8Mod_BT_244	8Mod_BU_248	8Mod_BV_250	8Mod_BW_252	8Mod_BX_254	8Mod_BY_256	8Mod_C_005	8Mod_D_007	8Mod_E_009	8Mod_F_011	8Mod_G_019	8Mod_H_021	8Mod_I_023	8Mod_J_025	8Mod_K_027	8Mod_L_029	8Mod_M_035	8Mod_N_041	8Mod_O_047	8Mod_O_047r	8Mod_P_049	8Mod_Q_063	8Mod_R_055	8Mod_S_057	8Mod_T_059	8Mod_U_060	8Mod_V_065	8Mod_W_069	8Mod_X_086	8Mod_X_087	8Mod_Y_078	8Mod_Z_080
ACMSD	0.630767585	0.859344496	-0.987591848	-0.711903664	-1.671577721	0.484199183	-0.641236756	0.289647079	0.177103485	0.458026254	0.105564146	-0.079391217	0.812233224	-0.15442028	-0.532182886	-0.81746781	-5.091507087	0.438832773	-0.103819284	0	0.312330284	0.628150292	-0.548759074	-0.175358623	0.214618016	0.876793116	-0.304478405	-0.484199183	-0.012214033	0.0366421	0.447557083	-0.200659121	1.169057487	0.763377091	0.778208417	0.34548266	1.056513893	-0.697944769	0.770356538	0.907328199	0.122140334	-0.066304753	0.66304753	-2.281406962	0.596742777	0.882900132	-0.838406153	-0.016576188	-0.69009289	0.831426706	-1.003295605	1.05302417	-0.269581167	0.553121229	-0.143951109	-0.340248075	-0.171868899	0.798274329	-0.060197736	-0.777335986	0.707541509	0.623788137	1.362737161	-0.287029786	0.69009289	0.752907919	-0.973632952	0.957929195	0.60808438	-2.694066807	-0.528693162	-0.205021276	0.787805158	-0.488561338	-0.014831326	-0.355951832	-0.999805881	-1.837339603	1.35314042	-2.174970385	0.017448619
AFP	0.541211596	0.057514896	-0.416893685	0.442257397	-1.469666342	0.040010362	2.964696395	0.239704938	0.092523963	-0.436898866	0.080735195	-0.735190406	-0.210054402	0.275428476	0.311509249	1.380714733	-1.462521634	-1.519679294	0.11824491	0	-0.430825865	0.033937361	0.465477696	-0.006430237	-0.227558935	-0.577649605	0.160041449	0.837359724	0.723758874	0.715185225	0.010359826	-0.499057822	-0.604442258	-1.451804573	0.125389617	0.062516191	0.816640072	-0.27507124	0.233989172	0.192907104	-0.406891095	0.051084659	-0.275785711	0.112171908	0.381527383	-0.650525622	-0.165042744	-0.248278587	0.112171908	0.425467334	1.549687066	-0.307936895	0.090737786	-0.730189111	2.427057152	-1.045627949	1.343919489	-0.645881562	-0.346875551	3.815273828	0.16075592	-0.523349828	-0.342231491	-0.828071604	-1.228175227	0.167186157	-1.417152741	-0.6816051	-1.455019691	-1.14601109	-0.002500648	-0.408677271	0.028936066	-0.042153775	2.186994979	-0.871297085	-0.634092794	0.106456142	-0.326155899	3.402666967	-0.716256931
AGXT2L1	0.355555976	-0.110344958	-1.63278554	-0.598101657	-0.285191075	-0.000533067	-0.415259528	0.123138576	0.275595862	0.592237915	-0.015458955	-1.064002591	-0.159920229	-0.231351265	-0.617292085	-1.511779233	-5.338670317	-2.543264711	0.195635747	-0.253740097	0.067699564	1.407298017	0.457904923	-0.44404517	0.083691587	-0.207896298	0.372081067	-0.224954456	-0.166850106	0.103415082	-0.021855765	-0.292654019	1.356123543	0.093819868	1.145561908	1.156223257	0.624221961	-0.638081714	1.024555601	0.077827845	0.350758369	0.103948149	1.020824129	-0.65354067	0.696719132	0.040513125	-0.919541318	0.700450604	-0.162585566	0.485091362	-0.073030238	-0.194569612	0.696719132	0.84437881	0	-1.19300491	-0.030917911	-0.262802243	0.050641406	-1.93770011	0.276128929	0.556522397	0.683925513	-0.141262869	0.304381503	0.95632297	-1.424889242	0.347559965	0.266000648	-2.440915764	-1.006431309	0.51441007	0.592770983	0.001066135	-1.843347175	-0.126870048	-0.289455615	0.067166496	0.944062419	-1.84228104	-0.304381503
ALDH3A1	-0.839099428	0.556600381	0.060127621	-0.685253336	2.411823015	-0.074907595	2.130331694	-0.75814548	-0.557944015	0.084313033	0	-0.614712551	0.822639912	-0.601948028	-0.055424902	0.000671817	-0.693651048	-0.219684158	0.19684238	2.634866258	-0.611017558	-0.655693388	1.032582723	-0.001343634	1.418205678	-0.606650747	1.948605197	-0.490426407	0.962713755	-0.825998997	-0.461538276	-0.015451791	-0.361773452	0.061807164	0.428619243	1.618743052	-0.855894853	0.592878499	0.141753386	-0.041652654	-0.142089295	-0.575747166	-0.54114859	2.186092505	1.750419183	-0.066509883	0.609673924	1.215988763	0.344978027	-0.63956978	-0.075579412	2.785017357	2.827005919	0.977493729	-0.076251229	-0.829022173	1.293583626	0.630836159	1.240845992	-0.842458513	-0.84077897	-0.668122002	-0.405105649	1.182397913	0.40040293	-0.491098224	0.4427274	0.296607204	0.647967493	-0.752435035	-0.13637885	0.156197452	-0.103795726	1.336915822	-0.035942209	2.877728102	0.770910003	2.035269589	0.0671817	-0.500167753	-0.088008026
ALDOB	0.505196261	-0.159825726	-0.805252222	0.566432171	0.575005198	0.718297229	-0.549286116	0.779533139	0.352106485	0.549898475	0.796066835	0.140230235	0.036741546	-0.192893118	-0.67665681	-0.625831004	-5.426114019	-3.617817585	0.252291951	-0.135331362	1.127965469	0.680943323	0.190443681	-0.181258295	0.142679671	0.371701976	-0.371701976	-0.217999841	-0.199016709	-0.563982735	0.36190423	0.230859382	0.667471423	-0.433550245	0.897718446	0.64910065	0.755038775	-0.178808858	0.760550007	0.180033577	-0.162275163	0.739117438	0.852403873	-1.132251983	0.252291951	0.545611961	-1.996290678	-0.81994884	-0.267600928	0.755038775	0.249230155	-1.237577749	0.046539292	0.322713248	-0.047151651	-0.619095054	-0.886083623	-0.011022464	0	-1.102858746	0.55357263	0.243106564	0.640527623	-0.02755616	0.575005198	0.63562875	-0.751976979	-0.186769527	-0.250454873	-1.627650498	-0.853016232	-0.262089696	0.371701976	-0.184932449	-2.141419786	-1.890964913	-0.206365018	-0.639302904	0.829134227	-0.822398276	0.570718685
ANKFN1	0.199832754	-0.3344382	-0.303603472	-0.079458721	-0.063448382	-0.08894633	4.114657213	0.207541436	-0.001778927	0.499878373	-0.107921547	-0.106735596	0.162475296	-0.16188232	-0.116223204	-0.211099289	-0.049809945	-0.211692265	0.453033306	-0.33977498	-0.333845224	-0.250235674	-0.364679952	-0.238969139	0.145871981	-0.24549187	0.014231413	-0.604835042	-0.343332833	-0.024904972	0.465485792	-0.086574428	0.133419495	1.226866375	0.227702604	1.28319905	0.219400947	-0.091318232	-0.118002131	-0.221179873	0	-0.312498105	-0.344518784	-0.185601341	4.74676913	0.296487766	0.098433938	-0.401444435	0.201018705	0.385434095	-0.227109629	2.976144193	1.421955324	0.138163299	0.080051697	0.639820598	0.202204656	0.358750197	-0.219993922	-0.488018862	-0.393735753	0.289372059	0.965957141	1.026440645	2.036870951	0.528934174	-0.148243883	-0.203983583	0.07827277	0.043880189	0.377132438	-0.788064481	-0.331473322	0.120374033	0.231853433	2.125224305	-0.001185951	4.090938192	0.712756589	-0.438801893	0.196274901
ANXA10	0.674671516	-0.26169077	-2.239558955	-0.282135361	-1.541522191	-0.067175086	-1.345838245	0.116826237	0.464968422	0.266363819	0.541489606	-0.679928697	-0.158883682	-0.779230998	-0.728995716	-2.620412486	-3.623949858	-4.025247981	0.525133933	0.623267972	0.50352108	0.546162656	-0.907739858	0.648385613	0.589972495	0.422910976	1.054940916	-0.261106639	-0.002336525	-1.001784979	0.778646867	0.390783761	0.647801482	0.67642391	0.002336525	0.030374822	0.397209204	-0.254097065	1.158916267	-0.040305052	-0.224306374	0.588804232	0.52338154	-0.620931447	0.448028617	0.969073632	-1.511731501	0.07418466	-1.821905159	0.838228247	-0.328281725	0.054908331	0.103975351	0.189258503	-0.418822058	-0.003504787	-0.259938376	-0.065422692	-0.566023116	-1.487782123	0.688106533	0.312510183	0.766964243	-0.725490929	0.387863105	0.367418514	-1.525166518	-1.248872469	-1.20973568	-1.722018727	0.08411489	-0.157131288	0.848742609	-0.466720815	-1.69865348	-0.481324095	-0.588220101	0.330034118	0.477235176	0	0.382021794
APOF	-0.376717507	0.719269704	-0.364579831	-1.323456255	-2.262103218	0.533158668	-0.852784142	0.26478116	0.065183817	0.708930202	0.388855184	0.810527047	0.226569957	0.255340745	-0.084064647	-2.826729935	-3.995543204	-4.622656477	0.547993605	0.247248961	0.286359251	0.038660747	-0.138459418	0.302992363	0.272872944	0.273322487	0.40234149	-0.279166554	-0.392001988	-0.508433772	-0.038660747	0.345249458	0.000449544	-0.067881078	0.274221575	0.395148793	0.346598088	-0.028321245	0.762425886	-0.360983483	-0.056642489	1.00383078	0.553388128	-1.158024223	0.405488295	0.365029375	-2.02024878	-0.327717259	-0.890995345	0.699040243	0	-1.693430608	-0.004495436	-0.045853444	-0.265230703	-1.06811551	-0.116881327	0.105193194	0.105193194	-0.755682732	0.801536176	0.121826306	0.756132276	0.204092778	-0.441901324	0.876609951	-1.366612437	0.550241323	0.451341739	-1.009225303	-0.803783894	0.102945476	-0.073275601	0.214881824	0.314230952	-1.496530527	-0.415378254	-0.90672937	-0.050798423	-0.898188042	-1.831440483
AQP6	-0.212227151	0.027219514	0.513343028	-0.248803373	2.249862979	0.562253092	3.194039882	0.961614404	1.053480265	0.453375035	0.304518316	-0.33343905	0.082083848	-0.331737831	-0.326634172	0.174800318	0.447846071	-0.273471058	1.558742499	1.095585451	-0.314725634	0.633279012	0.85911592	-0.304093011	0.661774442	-0.306644841	0.522274431	-0.305368926	-0.241147885	-0.105900923	-0.172248489	0.227963432	-0.271344533	1.631894944	-0.269643314	0.991385748	-0.197341479	-0.2858049	-0.234343006	-0.291333864	-0.186708856	-0.296862828	0.9093019	3.001376757	2.572669407	-0.306219536	-0.271344533	0.661349137	0.778733292	-0.294736303	1.137265332	3.881757923	2.351510853	-0.306219536	1.446887307	-0.416798813	0.861242445	-0.253481727	-0.322806427	-0.247102153	0	-0.117384155	-0.308771365	-0.308771365	1.410311085	0.208399406	-0.3117485	0.767250059	1.024984836	-0.268792704	-0.3117485	-0.303667706	-0.324082342	-0.314300329	0.965016843	2.506321841	-0.318553378	2.973731938	0.544815591	-0.322381123	1.961931554
ARID3A	1.34545719	1.132854413	1.531356237	1.331078258	-0.860681775	-0.257793706	2.299602022	1.295130929	1.453299179	-0.674782728	-0.545372342	0.426232621	-0.219792243	0.859654709	2.122946574	1.542653969	-0.169465982	-0.373852227	0.584400871	-0.482721282	-0.537155809	-0.093463057	0.447801019	-0.203359178	0.017460131	0.209521578	0.643970731	1.337240658	0.496073147	1.887748332	0.088327724	-0.056488661	-0.257793706	-0.238279441	-0.336877831	-0.09859839	-1.188316007	-0.090381857	-0.196169712	1.240696401	0.12838332	1.251994133	-0.579265538	-0.975713229	-0.179736648	0.318390633	-0.02978493	-0.072921726	0.870952441	0.300930501	2.047970715	-0.954144832	-0.681972194	-0.291686902	1.69465982	0.412880756	0.19103438	0.295795169	0	4.04253397	-0.601861003	-0.046217995	-0.179736648	-0.201305045	-0.37282516	1.009606426	0.315309433	0.056488661	0.394393558	-0.168438915	-0.608023402	-0.332769565	1.104096549	0.460125818	2.942545687	-0.957226031	-0.08935479	-0.980848562	-0.544345275	3.051414742	-0.051353328
